M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.7034511D+30  5.9918539D+09  1.1100748D+12  6.0694810D+03  7.4881712D-01  1.8227505D+06  2.23366D-01  2.23366D-01  6.34417D+33
  1.6899140D+30  5.9522294D+09  1.2020531D+12  6.1791132D+03  7.7601510D-01  1.8548945D+06  2.26424D-01  2.26424D-01  6.44633D+33
  1.6759883D+30  5.9123517D+09  1.2984950D+12  6.2887760D+03  8.0357752D-01  1.8859505D+06  2.29498D-01  2.29498D-01  6.54430D+33
  1.6616903D+30  5.8722591D+09  1.3994263D+12  6.3985432D+03  8.3149173D-01  1.9170202D+06  2.32987D-01  2.32987D-01  6.63795D+33
  1.6470409D+30  5.8319977D+09  1.5048373D+12  6.5086334D+03  8.5972316D-01  1.9473891D+06  2.36840D-01  2.36840D-01  6.72642D+33
  1.6320557D+30  5.7915967D+09  1.6147468D+12  6.6191033D+03  8.8826527D-01  1.9770943D+06  2.40680D-01  2.40680D-01  6.80975D+33
  1.6149294D+30  5.7463083D+09  1.7429396D+12  6.7430255D+03  9.2052046D-01  2.0095252D+06  2.44937D-01  2.44937D-01  6.89705D+33
  1.6149251D+30  5.7462973D+09  1.7429708D+12  6.7430553D+03  9.2272260D-01  2.0070559D+06  2.44903D-01  2.44903D-01  6.89721D+33
  1.5936338D+30  5.6913209D+09  1.9061550D+12  6.8940479D+03  9.6245921D-01  2.0454281D+06  2.50187D-01  2.50187D-01  6.99569D+33
  1.5775805D+30  5.6506697D+09  2.0319602D+12  7.0061003D+03  9.9210054D-01  2.0752185D+06  2.54377D-01  2.54377D-01  7.06279D+33
  1.5612562D+30  5.6099718D+09  2.1623389D+12  7.1187053D+03  1.0219362D+00  2.1055795D+06  2.58331D-01  2.58331D-01  7.12531D+33
  1.5446708D+30  5.5692290D+09  2.2973335D+12  7.2317498D+03  1.0519488D+00  2.1360357D+06  2.61920D-01  2.61920D-01  7.18411D+33
  1.5278335D+30  5.5284418D+09  2.4369889D+12  7.3451104D+03  1.0821227D+00  2.1667146D+06  2.65165D-01  2.65165D-01  7.24006D+33
  1.5107549D+30  5.4876123D+09  2.5813396D+12  7.4587033D+03  1.1124335D+00  2.1977960D+06  2.68126D-01  2.68126D-01  7.29384D+33
  1.4934442D+30  5.4467385D+09  2.7304285D+12  7.5724057D+03  1.1428647D+00  2.2289942D+06  2.70668D-01  2.70668D-01  7.34623D+33
  1.4759107D+30  5.4058190D+09  2.8842954D+12  7.6861074D+03  1.1734165D+00  2.2590556D+06  2.73051D-01  2.73051D-01  7.39796D+33
  1.4581667D+30  5.3648592D+09  3.0429535D+12  7.7998018D+03  1.2041045D+00  2.2883233D+06  2.75380D-01  2.75380D-01  7.44924D+33
  1.4402238D+30  5.3238634D+09  3.2064175D+12  7.9134743D+03  1.2349320D+00  2.3170618D+06  2.77676D-01  2.77676D-01  7.50031D+33
  1.4220945D+30  5.2828382D+09  3.3746902D+12  8.0271525D+03  1.2658909D+00  2.3455687D+06  2.80013D-01  2.80013D-01  7.55123D+33
  1.4037902D+30  5.2417870D+09  3.5477816D+12  8.1408308D+03  1.2969781D+00  2.3736054D+06  2.82251D-01  2.82251D-01  7.60218D+33
  1.3853214D+30  5.2007113D+09  3.7257069D+12  8.2544815D+03  1.3281924D+00  2.4012807D+06  2.84366D-01  2.84366D-01  7.65345D+33
