  M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  3.9261115D+29  2.9684331D+09  1.9985306D+13  1.3613221D+04  3.1322883D+00  3.5280515D+06  3.02279D-01  3.02279D-01  1.95823D+34
  3.7552098D+29  2.9186103D+09  2.0439479D+13  1.3706154D+04  3.1685409D+00  3.5509341D+06  3.03243D-01  3.03243D-01  2.03766D+34
  3.5870455D+29  2.8684525D+09  2.0897001D+13  1.3798611D+04  3.2045933D+00  3.5738157D+06  3.04135D-01  3.04135D-01  2.12307D+34
  3.4216922D+29  2.8179413D+09  2.1357723D+13  1.3890561D+04  3.2404359D+00  3.5966915D+06  3.04957D-01  3.04957D-01  2.21510D+34
  3.2592239D+29  2.7670574D+09  2.1821486D+13  1.3981973D+04  3.2760592D+00  3.6195561D+06  3.05713D-01  3.05713D-01  2.31449D+34
  3.0997155D+29  2.7157804D+09  2.2288123D+13  1.4072813D+04  3.3114487D+00  3.6429385D+06  3.06406D-01  3.06406D-01  2.42207D+34
  2.9432431D+29  2.6640890D+09  2.2757455D+13  1.4163055D+04  3.3465893D+00  3.6661663D+06  3.07062D-01  3.07062D-01  2.53880D+34
  2.7898839D+29  2.6119610D+09  2.3229291D+13  1.4252675D+04  3.3814748D+00  3.6891464D+06  3.07683D-01  3.07683D-01  2.66577D+34
  2.6397155D+29  2.5593729D+09  2.3703430D+13  1.4341645D+04  3.4160990D+00  3.7118725D+06  3.08271D-01  3.08271D-01  2.80425D+34
  2.4928162D+29  2.5062999D+09  2.4179657D+13  1.4429940D+04  3.4504548D+00  3.7343379D+06  3.08825D-01  3.08825D-01  2.95570D+34
  2.3492689D+29  2.4527172D+09  2.4657732D+13  1.4517568D+04  3.4845294D+00  3.7572263D+06  3.09792D-01  3.09792D-01  3.12179D+34
  2.2091659D+29  2.3986021D+09  2.5137369D+13  1.4604621D+04  3.5183007D+00  3.7799582D+06  3.10847D-01  3.10847D-01  3.30437D+34
  2.0725840D+29  2.3439240D+09  2.5618319D+13  1.4691052D+04  3.5517636D+00  3.8022428D+06  3.11814D-01  3.11814D-01  3.50578D+34
  1.9396012D+29  2.2886506D+09  2.6100316D+13  1.4776811D+04  3.5849125D+00  3.8240807D+06  3.12697D-01  3.12697D-01  3.72880D+34
  1.8102961D+29  2.2327472D+09  2.6583078D+13  1.4861850D+04  3.6177406D+00  3.8454728D+06  3.13498D-01  3.13498D-01  3.97670D+34
